status,race_id,event_slug,event_name,race_name,date,distance_km,elevation_gain_m,city,province,official_url,admin_url,gpx_url,source,confidence,evidence,notes,uploaded,upload_status
needs_review,659b2258-0fd5-4ef5-8edf-3eeeff032989,trail-valle-de-tena,Trail Valle de Tena,8K Relevos,2026-09-05,80,6820,Panticosa,Huesca,https://trailvalledetena.com/homepage/,https://www.trailrunningcal.com/es/e/trail-valle-de-tena,,,,Relay over the same 80 km course as the 8K individual race; no separate track exists.,"The only candidate is the track assigned to row 51 (8K - Trail Valle de Tena 2025, 82.12 km / 6438 m). Never assign the same file to both rows; confirm the relay leg split with the organizer.",,
found,4425a97c-fdae-48ce-9dc0-c0ad6143a374,trail-valle-de-tena,Trail Valle de Tena,8K,2026-09-05,80,6820,Panticosa,Huesca,https://trailvalledetena.com/homepage/,https://www.trailrunningcal.com/es/e/trail-valle-de-tena,https://www.wikiloc.com/trail-running-trails/nuevo-8k-trail-valle-de-tena-2025-223349040,wikiloc,high,Wikiloc '8K - Trail Valle de Tena 2025': 51.04 mi = 82.12 km / 21122 ft = 6438 m vs 80 km / 6820 m in the DB. Loop from Panticosa.,"The official site publishes no track, only the Reglamento and Guia PDFs.",,"skipped: production/CSV distance_km=80 & elevation=6820 are garbled for an 8K race; Wikiloc track ""8K - Trail Valle de Tena 2025"" (official) is the correct ~8km route but fails the +-20% gate vs the corrupt figure; needs catalogue data fix first"
needs_review,9cfb5925-64db-46f1-832f-ca12afea6e27,desafio-urbion,Desafío Urbión,OPEN,2026-09-06,17,1200,Covaleda,Soria,https://desafiourbion.com/,https://www.trailrunningcal.com/es/e/desafio-urbion,https://es.wikiloc.com/rutas-carrera-por-montana/desafio-urbion-open-133306159,wikiloc,low,"Wikiloc 'Desafio Urbion Open': 12.2 km / 799 m vs 17 km / 1200 m in the DB. Distance is 28% short, outside the +-20% rule, but the route name matches the race exactly.",A second independent recording agrees: wikiloc.com/trail-running-trails/desafio-urbion-open-108008441 (12.76 km / 814 m). Two recordings at ~12.5 km suggest the DB figures for the OPEN may be wrong; review them.,,
not_found,699104f9-ee18-4083-b9c0-4e862d100e95,izki-trail,Izki Trail,Izki Trail,2026-09-06,12,450,Apellániz / Apilaiz,Araba,https://inscripciones.kronoak.com/es/evento/v-izki-trail?auto=1&cmp=1&frm=1&men=1,https://www.trailrunningcal.com/es/e/izki-trail,,,,"12km/450m; no candidate. All Wikiloc Izki Trail recordings (2023 id 141163185, 2024 id 183959406 22.19km, 2025 id 230373945 22.1km) are the ~22km long route (row 62, applied).","The 12km row is the new-for-2026 short route (dam -> San Cristobal), not yet recorded.",,skipped: only the long-route track exists; short route is new for 2026
not_found,f5f638b5-7ea1-479d-a307-abc24d154d76,k21-laurisilva-tacoronte,K21 Laurisilva Tacoronte,,2026-09-06,12,465,Tacoronte,Santa Cruz de Tenerife,https://inscripciones.chronotrackcanarias.com/inscripcion/k21-laurisilva-tacoronte-2026/,https://www.trailrunningcal.com/es/e/k21-laurisilva-tacoronte,,,,"12km/465m; no candidate. Only Wikiloc tracks are 2015-2017 Laurisilva Trail editions (>4yr old, event relaunched for 2026); generic Agua Garcia forest routes rejected.",chronotrackcanarias registration only. DB 465m matches press 12km-route D+ but no current track.,,skipped: only >4yr-old edition tracks; event relaunched
needs_review,a4ea5bac-cbfb-4ab6-98ec-97de1c55b9a6,k21-laurisilva-tacoronte,K21 Laurisilva Tacoronte,,2026-09-06,21,860,Tacoronte,Santa Cruz de Tenerife,https://inscripciones.chronotrackcanarias.com/inscripcion/k21-laurisilva-tacoronte-2026/,https://www.trailrunningcal.com/es/e/k21-laurisilva-tacoronte,https://es.wikiloc.com/rutas-carrera-por-montana/ii-laurisilva-trail-tacoronte-2015-11206699,wikiloc,low,Wikiloc 'II Laurisilva Trail Tacoronte 2015': 17.74 km / 599 m vs 21 km / 860 m in the DB. Distance is 15% short (inside +-20%) but elevation is 30% short and the recording is from the 2015 II edition.,"The race is now branded K21, suggesting the course was lengthened to 21 km since 2015. Verify before use; official_url is a chronotrackcanarias registration page with no track.",,
not_found,66e7ab25-948e-4d9d-bae4-7bb24376c266,switchrun-sellent,Switchrun Sellent,,2026-09-06,8,90,Sellent,Valencia,https://trifitness31.eu/switchrun-sellent-2026/,https://www.trailrunningcal.com/es/e/switchrun-sellent,https://es.wikiloc.com/rutas-carrera/switchrun-sellent-8k-asfalto-273132202,official,medium,official site embeds this Wikiloc route for the 8 km asphalt course; Wikiloc card 7.61 km / 82 m vs DB 8 km / 90 m (near-exact). BUT the File tab shows the 'hand-drawn on a map' banner.,"Track is hand-drawn, not GPS-recorded - not applied per procedure.",,"skipped: Wikiloc track is hand-drawn on a map, not GPS-recorded"
needs_review,df230828-4c37-474d-968d-9c34f4ec4c19,switchrun-sellent,Switchrun Sellent,Marcha,2026-09-06,8,90,Sellent,Valencia,https://trifitness31.eu/switchrun-sellent-2026/,https://www.trailrunningcal.com/es/e/switchrun-sellent,,,,Marcha 8/90 = same figures as row 68 (8K Asfalto).,"Walk shares the 8K Asfalto course (row 68); that Wikiloc track is hand-drawn and unusable, so no geometry to copy.",,needs_review: shares row 68 course; no usable track
needs_review,ddbd2428-4dd5-4a38-b219-da8e7396c64e,switchrun-sellent,Switchrun Sellent,,2026-09-06,12,450,Sellent,Valencia,https://trifitness31.eu/switchrun-sellent-2026/,https://www.trailrunningcal.com/es/e/switchrun-sellent,,,,"Duplicate of row 67 (switchrun-sellent 12 km, no race_name, same 12/450).",Duplicate catalogue entry; should be merged with row 67. Track lives on row 67.,,needs_review: duplicate of row 67
needs_review,592d96b2-25a7-4368-a326-53c9065909d7,trail-da-carixa,Trail da Carixa,Marcha,2026-09-06,9,,Vila de Cruces,Pontevedra,https://trailcarixa.ccnorte.com/,https://www.trailrunningcal.com/es/e/trail-da-carixa,https://racemapp.com/recorrido/1559-trail-da-carixa-9k,official,high,organizer RaceMapp project 497 publishes a dedicated 9K route (recorrido 1559); decoded polyline = 9.59 km / D+ ~398 m vs DB 9 km (Andaina = 9000 m on the official event page).,"Marcha/Andaina row: not auto-applied per procedure walk-row rule. Official 9K track extracted to data/gpx/trail-da-carixa-9k-racemapp.gpx (154 pts, circular), ready for manual apply. Race sibling (row 71) is the unrelated 22 km course.",,skipped: walk row; official RaceMapp 9K track extracted and ready for manual apply
found,d7f907f4-9fac-486d-bf33-544ad632f4a8,trail-e-andaina-capela-do-san-vitoiro,Trail e Andaina Capela do San Vitoiro,Marcha,2026-09-06,9,200,A Pobra do Brollón,Lugo,https://www.deporticket.com/web-evento/13635-v-trail-e-andaina-capela-do-san-vitoiro,https://www.trailrunningcal.com/es/e/trail-e-andaina-capela-do-san-vitoiro,https://www.wikiloc.com/hiking-trails/a-pobra-do-brollon-119582595,wikiloc,high,"Wikiloc 'A Pobra do Brollon': 6.06 mi = 9.75 km / 692 ft = 211 m vs 9 km / 200 m in the DB. The description states it is the route of the 1st San Vitoiro Andaina, run in the opposite direction.",Route name is generic; the event is identified in the description. Recorded in the reverse direction and with a small detour at km 3.3 because the Rubin river was uncrossable.,,"skipped: Wikiloc track ""A Pobra do Brollon"" (id 119582595) is the San Vitoiro Andaina route per its description, but the author states it deviates from the course - recorded reverse, a river-crossing detour at km 3.3-4 and an added out-and-back spur to a mill at km 4.4; not a faithful course track, needs manual review"
not_found,2e42ed8b-fe41-4591-bd10-b26248096896,trail-e-andaina-capela-do-san-vitoiro,Trail e Andaina Capela do San Vitoiro,Minitrail,2026-09-06,14,450,A Pobra do Brollón,Lugo,https://www.deporticket.com/web-evento/13635-v-trail-e-andaina-capela-do-san-vitoiro,https://www.trailrunningcal.com/es/e/trail-e-andaina-capela-do-san-vitoiro,,,,"Minitrail 14/450; no candidate. Wikiloc has only generic 'Ermita de S. Vitorio - Mesa de 4 Cabaleiros' hiking routes, none the competitive minitrail course.",V edition; deporticket registration. Andaina row 77 (9 km) already handled.,,skipped: no organizer track; only generic ermita hiking routes
needs_review,f3549ec5-5175-4966-b454-5cc4212516ed,trail-e-andaina-capela-do-san-vitoiro,Trail e Andaina Capela do San Vitoiro,Marcha,2026-09-06,14,450,A Pobra do Brollón,Lugo,https://www.deporticket.com/web-evento/13635-v-trail-e-andaina-capela-do-san-vitoiro,https://www.trailrunningcal.com/es/e/trail-e-andaina-capela-do-san-vitoiro,,,,Marcha 14/450 = same figures as row 75 Minitrail.,"Same 14 km / 450 m course as row 75 Minitrail; no track exists for that course yet, so nothing to copy.",,needs_review: shares row 75 course; no track yet
not_found,9218db43-c18f-48ed-a10b-c2fbf07458c3,trail-e-andaina-capela-do-san-vitoiro,Trail e Andaina Capela do San Vitoiro,Trail Longo,2026-09-06,28,1100,A Pobra do Brollón,Lugo,https://www.deporticket.com/web-evento/13635-v-trail-e-andaina-capela-do-san-vitoiro,https://www.trailrunningcal.com/es/e/trail-e-andaina-capela-do-san-vitoiro,,,,"Trail Longo 28/1100; no candidate. No Wikiloc recording of the 28 km long course; only generic ermita hiking routes and the reverse-recorded 'I Andaina San Vitoiro' (river-detour variant), both rejected.","V edition; deporticket registration, no track link.",,skipped: no recording of the long course
needs_review,98bc33de-dde4-46f2-a5a0-0fac8492f678,trail-la-grajera,Trail La Grajera,Marcha,2026-09-06,13,500,Lantueno,Cantabria,https://wodira.app/es/events/trail-la-grajera-2026,https://www.trailrunningcal.com/es/e/trail-la-grajera,https://es.wikiloc.com/rutas-senderismo/trail-la-grajera-183346698,wikiloc,low,Wikiloc 'Trail La Grajera': 10.66 km / 600 m vs 13 km / 500 m in the DB. Distance is 18% short (just inside +-20%) and elevation is 20% over; the route name identifies neither the walk nor an edition.,Recorded in Lantueno over the same beech forest as the race. Confirm with the organizer that this is the 13 km walk course and not a private variant.,,
found,109cb5c8-ffed-4542-ab43-d10554eee159,trail-valle-de-tena,Trail Valle de Tena,2K,2026-09-06,20,1230,Panticosa,Huesca,https://trailvalledetena.com/homepage/,https://www.trailrunningcal.com/es/e/trail-valle-de-tena,https://www.wikiloc.com/trail-running-trails/2k-trail-valle-de-tena-2024-173708576,wikiloc,high,Wikiloc '2K - Trail Valle de Tena 2025': 13.21 mi = 21.25 km / 4236 ft = 1291 m vs 20 km / 1230 m in the DB. Loop from Panticosa.,Alternative: es.wikiloc.com/rutas-carrera-por-montana/panticosa-trail-valle-de-tena-2k-2017-20085949 (2017 edition).,,"skipped: production/CSV distance_km=20 & elevation=1230 garbled for a 2K race; Wikiloc ""2K - Trail Valle de Tena 2024"" (official) is the correct ~2km route but fails the +-20% gate vs the corrupt figure; needs catalogue data fix first"
needs_review,fa5de21e-1095-42cc-b1ef-84f92b515d65,cursa-de-muntanya-vila-de-falset-2,Cursa de Muntanya Vila de Falset,,2026-09-11,13,513,Falset,Tarragona,https://www.cursadefalset.com/,https://www.trailrunningcal.com/es/e/cursa-de-muntanya-vila-de-falset-2,,,,"Duplicate DB entry: same event, same 13 km course and figures as row 93, under the event_slug cursa-de-muntanya-vila-de-falset-2.",The track is the one assigned to row 93. Never assign the same file to both rows; the two event_slug entries should probably be merged in the catalogue.,,
needs_review,03a8c39a-5e53-40eb-8fb4-1cfa5caa7ee1,cursa-de-muntanya-vila-de-falset-2,Cursa de Muntanya Vila de Falset,,2026-09-11,26,1343,Falset,Tarragona,https://www.cursadefalset.com/,https://www.trailrunningcal.com/es/e/cursa-de-muntanya-vila-de-falset-2,,,,"Duplicate DB entry: same event, same 26 km course and figures as row 92, under the event_slug cursa-de-muntanya-vila-de-falset-2.",The track is the one assigned to row 92. Never assign the same file to both rows; the two event_slug entries should probably be merged in the catalogue.,,
not_found,6874863e-36db-481c-a731-1b3ba237131c,cursa-vall-del-tenes,Cursa Vall del Tenes,,2026-09-11,11,250,Santa Eulàlia de Ronçana,Barcelona,https://www.ser.cat/actualitat/noticies/sobren-les-inscripcions-per-a-la-xxxvii-cursa-vall-del-tenes.html,https://www.trailrunningcal.com/es/e/cursa-vall-del-tenes,,,,"11 km / 250 m; Wikiloc 'Vall del Tenes' id 5228591 rejected: 14.19 km / 314 m vs 11 km / 250 m (+29%), generic ~2016 route with no cursa/edition in the title.","XXXVII edition; organizer Mancomunitat de la Vall del Tenes, XipGroc registration. Course varies year to year; no GPX published.",,skipped: no organizer track; only an out-of-range generic route
not_found,f25e9806-786f-4fb3-b5fc-2184fb667348,subida-contrarreloj-al-lobo-kmv,Subida contrarreloj al Lobo KMV,Carrera Vertical,2026-09-11,4,500,Torremolinos,Málaga,https://pruebaspopulares.pmdt.es/shop/feria_san_miguel_2025/carrera-1-2km-vertical-canada-del-lobo-11-sept-2026/,https://www.trailrunningcal.com/es/e/subida-contrarreloj-al-lobo-kmv,,,,1.2 km time-trial vertical climb (4 km / 500 m in the DB); no track published and no matching recording found.,"Vertical race under 5 km: few recordings, lots of noise. official_url is a municipal registration page.",,
,99fcdda9-54d7-4aaf-88cb-f71d26014953,adeyahamen-trail,Adeyahamen Trail,Adeyahamen KVertical,2026-09-12,5,1135,San Andrés y Sauces,Santa Cruz de Tenerife,https://inscripciones.chronotrackcanarias.com/inscripcion/adeyahamen-trail-2026/?lang=es,https://www.trailrunningcal.com/es/e/adeyahamen-trail,,,,,,,
not_found,5b9c3cbb-2c6e-4eee-b78b-b10b7bb24e24,backyard-baltasara,Backyard Baltasara,Backyard Baltasara,2026-09-12,6,130,Mieres,Asturias,https://inscripciones.empa-t.com/inscripcion/backyard-baltasara/,https://www.trailrunningcal.com/es/e/backyard-baltasara,,,,Backyard format: a repeated 6 km lap run hourly until one runner remains. Almost nobody uploads the lap track; official_url is an empa-t registration page.,"Lap format. If a track is ever needed, it is a single ~6 km loop in Mieres.",,
,6b2b29c3-e118-4afe-8af5-e5e369d9cd11,carrera-vertical-el-risco,Carrera Vertical El Risco,Cronoescalada,2026-09-12,3,700,Buenavista del Norte,Santa Cruz de Tenerife,https://inscripciones.chronotrackcanarias.com/inscripcion/carrera-vertical-el-risco-2026/,https://www.trailrunningcal.com/es/e/carrera-vertical-el-risco,,,,,,,
not_found,6bf90003-11c5-435c-a4e5-0e86238b76cd,cartagena-backyard-ultra,Cartagena Backyard Ultra,Backyard Ultra,2026-09-12,6,195,Cartagena,Murcia,https://cartagenabackyardultra.es/,https://www.trailrunningcal.com/es/e/cartagena-backyard-ultra,,,,Backyard ultra: a repeated 6 km lap run hourly until one runner remains. Almost nobody uploads the lap track.,"Lap format. If a track is ever needed, it is a single ~6 km loop in Cartagena.",,
not_found,e1dbd169-29f2-43a7-979f-6f29f06352d4,cross-villa-de-el-garbanzal,Cross Villa de El Garbanzal,Marcha,2026-09-12,5,80,La Unión,Murcia,https://www.lineadesalida.net/carreras/ii-cross-villa-de-el-garbanzal,https://www.trailrunningcal.com/es/e/cross-villa-de-el-garbanzal,,,,Walk over the same 5 km course as the race; no dedicated track and no matching recording found.,Never assign the race track to the walk. Retry after the race.,,
not_found,659a9742-2a43-4c4c-8564-36670e1abd19,cross-villa-de-el-garbanzal,Cross Villa de El Garbanzal,Carrera,2026-09-12,5,80,La Unión,Murcia,https://www.lineadesalida.net/carreras/ii-cross-villa-de-el-garbanzal,https://www.trailrunningcal.com/es/e/cross-villa-de-el-garbanzal,,,,5 km cross with 80 m of gain; no track published and no matching recording found under the race name.,"Very short, nearly flat course: few recordings. II edition. Retry after the race.",,
needs_review,c20ca62a-db20-44cb-967f-14cd5c89907b,cxm-almargen-memorial-mercedes-guerrero-fontalba,CxM Almargen Memorial Mercedes Guerrero Fontalba,Marcha,2026-09-12,11,,Almargen,Málaga,https://www.dorsalchip.es/carrera/2026/9/12/II_CxM_Almargen_Memorial_Mercedes_Guerrero_Fontalba.aspx,https://www.trailrunningcal.com/es/e/cxm-almargen-memorial-mercedes-guerrero-fontalba,,,,"Marcha 11 km; reglamento lists the short trail and the marcha both as 11 km. Row 105 (Trail Corto, applied, Wikiloc id 230489402 measured 13.06 km) is the likely shared course.",Walk row: not copied - marcha routing not confirmed identical to the short trail. Sibling row 105 holds a track if it is the same course.,,"needs_review: possible shared course with row 105, unconfirmed"
not_found,f7ba5239-2e8e-4126-8f01-af99b783e84e,cxm-almargen-memorial-mercedes-guerrero-fontalba,CxM Almargen Memorial Mercedes Guerrero Fontalba,Trail Largo,2026-09-12,27,1100,Almargen,Málaga,https://www.dorsalchip.es/carrera/2026/9/12/II_CxM_Almargen_Memorial_Mercedes_Guerrero_Fontalba.aspx,https://www.trailrunningcal.com/es/e/cxm-almargen-memorial-mercedes-guerrero-fontalba,,,,Trail Largo 27/1100; no candidate. Wikiloc has only the I-edition short course (id 230489402 = row 105); no 27 km long-course recording.,II edition; dorsalchip registration.,,skipped: no long-course recording
needs_review,3d5ea5b2-131c-46cb-b8a5-8442c289c97d,penatendoira-trail,Peñatendoira Trail,Marcha,2026-09-12,10,450,Matarrosa del Sil,León,https://www.carrerasconencanto.com/inicio/iv-trail-pe%C3%B1atendoira/,https://www.trailrunningcal.com/es/e/penatendoira-trail,,,,Marcha 10/450 = same figures as row 118 Speed.,"Same 10 km / 450 m course as row 118 Speed; that course has no track (only the 27 km Larga is recorded, row 119).",,needs_review: shares row 118 course; no track for it
not_found,09ee2c58-c7a9-4307-b5e9-d5b3db204454,penatendoira-trail,Peñatendoira Trail,Speed,2026-09-12,10,450,Matarrosa del Sil,León,https://www.carrerasconencanto.com/inicio/iv-trail-pe%C3%B1atendoira/,https://www.trailrunningcal.com/es/e/penatendoira-trail,,,,"Speed 10/450; no candidate. Only Wikiloc route is the 27.21 km Larga course (id 83688231, used by row 119); no 10 km speed recording.",IV edition; carrerasconencanto page carries only a reglamento PDF.,,skipped: no short-course track
not_found,c57371e1-a41f-41fd-8a2f-d417b37db667,trail-de-la-picota,Trail de la Picota,Trail,2026-09-12,10,261,Pezuela de las Torres,Madrid,https://web.rockthesport.com/es/event/i-trail-de-la-picota-de-pezuela-de-las-torres,https://www.trailrunningcal.com/es/e/trail-de-la-picota,,,,"I Trail 10/261; no candidate. Only generic Pezuela de las Torres hiking/trail routes on Wikiloc (id 25894285 etc.), none the race course.",I edition; rockthesport registration.,,"skipped: I edition, only generic area routes"
,179d6e7a-aed6-4215-8269-298ab5b10766,trail-valle-de-ardisana,Trail Valle de Ardisana,Trail Ardisana,2026-09-12,15,1000,Ardisana,Asturias,https://inscripciones.empa-t.com/inscripcion/trail-valle-de-ardisana-2026/,https://www.trailrunningcal.com/es/e/trail-valle-de-ardisana,,,,,,,
not_found,dd79ffcb-4225-4a41-ac52-e8fb22fd43da,txantreako-elkartasunmendilasterketa,Txantreako Elkartasunmendilasterketa,Carrera,2026-09-12,12,472,Pamplona,Navarra,https://www.rockthesport.com/es/evento/txantreako-ielkartasunmendilasterketa,https://www.trailrunningcal.com/es/e/txantreako-elkartasunmendilasterketa,,,,Carrera 12/472; no candidate. No Wikiloc recording of Txantreako Elkartasun Mendi Lasterketa; only generic Artika / Navarra trail-running routes.,"rockthesport registration; Txantrea neighbourhood, Pamplona.",,skipped: no race recording; only generic Navarra routes
needs_review,bcf42876-5dc7-44b1-8096-05c01a8e1ed9,21k-de-la-costa-de-soavela,21K DE LA COSTA DE SOAVELA,Marcha,2026-09-13,15,219,Cangas de Morrazo,Pontevedra,https://ccnorte.com/evento/detalle/id/3353/21k-de-la-costa-de-soavela,https://www.trailrunningcal.com/es/e/21k-de-la-costa-de-soavela,,,,"Marcha/Andaina 15 km; organizer RaceMapp andaina route (recorrido 1254) returns 404 from the API - not extractable. Race sibling row 131 (21 km, applied) is a different course.",Walk row: RaceMapp published a 21 km route (recorrido 1058) but the andaina route is not accessible.,,needs_review: walk row; RaceMapp andaina route unavailable (404)
,db4b5a77-47b8-4b66-a00c-6080d8e1e69a,adeyahamen-trail,Adeyahamen Trail,Adeyahamen,2026-09-13,10,440,San Andrés y Sauces,Santa Cruz de Tenerife,https://inscripciones.chronotrackcanarias.com/inscripcion/adeyahamen-trail-2026/?lang=es,https://www.trailrunningcal.com/es/e/adeyahamen-trail,,,,,,,
,a817efe7-9ceb-455b-8d45-4274bee06757,adeyahamen-trail,Adeyahamen Trail,Adeyahamen,2026-09-13,20,887,San Andrés y Sauces,Santa Cruz de Tenerife,https://inscripciones.chronotrackcanarias.com/inscripcion/adeyahamen-trail-2026/?lang=es,https://www.trailrunningcal.com/es/e/adeyahamen-trail,,,,,,,
not_found,1251fdc8-6ddf-4c72-99a6-18df748ec018,caimari-epic-trail,Caimari Epic Trail,Mini Caimari Epic Trail,2026-09-13,12,708,Caimari,Illes Balears,https://app.elitechip.net/index.php?idcomp=7566118&zwshow=compdet,https://www.trailrunningcal.com/es/e/caimari-epic-trail,,,,Mini 12/708; no candidate. Wikiloc 'Caimari Epic Trail' (id 11401450) is the 35 km Epic course (row 136 used a 2025-edition track); no Mini-specific recording.,elitechip registration; Mini is a cut-down of the Epic.,,skipped: no Mini-course recording
not_found,337ae97f-12c5-488b-8dad-394c790cadd8,carrera-de-la-uva,Carrera de la Uva,Runner,2026-09-13,10,844,Canjáyar,Almería,https://www.cruzandolameta.es/ver/x-carrera-de-la-uva---2625/,https://www.trailrunningcal.com/es/e/carrera-de-la-uva,,,,Runner 10/844; no candidate. Press describes a flat 10.5 km circular via Ohanes with real D+ ~92 m (DB 844 m is garbled). Only generic Canjayar routes on Wikiloc.,IX edition (returns after years); cruzandolameta registration.,,skipped: no track; DB elevation garbled
not_found,5c9e5c38-9a5c-4a00-9167-9048520a8f01,carrera-de-la-uva,Carrera de la Uva,Marcha,2026-09-13,10,844,Canjáyar,Almería,https://www.cruzandolameta.es/ver/x-carrera-de-la-uva---2625/,https://www.trailrunningcal.com/es/e/carrera-de-la-uva,,,,"Walk over the same course as the race; no dedicated track, and the only candidate for the race itself was rejected on distance (see row 138).",Never assign the race track to the walk. Retry after the race and after the DB distance is rechecked.,,
found,a2e85b5f-5ac1-4116-a306-6b66d6b539a8,desafio-turrillas-al-pico-del-colativi,Desafío Turrillas al Pico del Colativí,,2026-09-13,18,,Turrillas,Almería,https://cclaamatista.es/prueba/desafio-turrillas-al-pico-del-colativi/,https://www.trailrunningcal.com/es/e/desafio-turrillas-al-pico-del-colativi,https://www.viewgpx.com/route/YiWrCYVq,official,high,The official cclaamatista.es page for the race publishes the course on viewgpx.com: 19.02 km / 588 m vs 18 km in the DB (elevation not stored).,blocked: only published track is viewgpx.com/route/YiWrCYVq which now 404s (and its API 500s on a DB permission error); official cclaamatista.es links nothing else. Retry later or find another source.,,
needs_review,de5893d7-beef-42ed-ae85-a12ff79cae1f,desafio-turrillas-al-pico-del-colativi,Desafío Turrillas al Pico del Colativí,Marcha,2026-09-13,18,,Turrillas,Almería,https://cclaamatista.es/prueba/desafio-turrillas-al-pico-del-colativi/,https://www.trailrunningcal.com/es/e/desafio-turrillas-al-pico-del-colativi,,,,Walk over the same 18 km course as the race; the official site publishes a single course.,The track is the one assigned to row 140 (viewgpx.com/route/YiWrCYVq). Never assign the same file to both rows.,,
found,eb2d626c-21bc-42a7-956d-c5b594e29360,penarrubia-lorca-trail,Peñarrubia Lorca Trail,Marcha,2026-09-13,10,440,Lorca,Murcia,https://penarrubiatrail.lorca.es/,https://www.trailrunningcal.com/es/e/penarrubia-lorca-trail,https://es.wikiloc.com/rutas-senderismo/xiii-penarrubia-lorca-trail-231785951,wikiloc,medium,"Wikiloc 'XIII Penarrubia Lorca - Trail': 8.55 km / 296 m vs 10 km / 440 m in the DB. Out and back, recorded at the XIII edition, which is the walkers' short option.","Distance is 15% short, inside the +-20% rule; elevation is 296 m vs 440 m in the DB. Distinct from the Open course in row 147 (9.9 km / 324 m); confirm with the organizer which of the two is the Marcha.",,
